#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#wt_mn_flux: weighted mean flux at the center of the line (erg/s/cm^2)
#onesig_err_wt_mn_flux: 1 sigma uncertainty in weighted mean flux at the center of the line (erg/s/cm^2)
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means either the code was unable to fit the line OR the fit was below 3 sigma flux error at that point
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	significance	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u
rcs0327-B	CII1334	3606.8404	1334.5323	ISM	1.8349	0.6588	2.66824823269e+15	3.49528983927e+16	-3.0527e-17	1.0961e-17	-2.0912e-18	5.713e-18	4.9773	1.0	-1.2917	3606.798	0.4183	1.5317	1.7027	0.0003
rcs0327-B	CII1335b	3611.0985	1335.663	FINESTR	-0.0	0.9023	-1.5077969516e+17	3.62919769565e+16	1.8253e-29	1.4852e-17	-2.0912e-18	5.713e-18	0.36605	1.0	0.0	3611.379	3.45733342858e+11	1.5283	1.7038	258847735.438
rcs0327-B	CII1335c	3611.2201	1335.708	EMISSION	-0.1078	0.5228	-1.5077969516e+17	3.62919769565e+16	1.7748e-18	8.6058e-18	-2.0912e-18	5.713e-18	0.6767	1.0	0.2248	3611.5006	1.2959	0.5172	1.7038	0.001
rcs0327-B	NIV]1486	4018.9014	1486.5	EMISSION	-0.5103	0.5409	-1.97441895836e+17	3.7423361255e+16	6.7691e-18	7.1749e-18	5.0097e-19	2.3831e-18	2.6303	1.0	0.3225	4018.5892	1.3727	1.7067	1.7034	0.0009
rcs0327-B	SiII1533	4145.7846	1533.4312	FINESTR	-0.751	0.2628	-4.00219397305e+17	3.64613011321e+16	9.2727e-18	3.2451e-18	-2.2553e-19	2.5263e-18	3.7598	1.0	1.3277	4145.4626	0.1607	0.6101	1.7034	0.0001
rcs0327-B	HeII1640	4435.0314	1640.417	EMISSION	-1.1969	0.4123	-4.59341165876e+17	3.8142988485e+16	1.3293e-17	4.5796e-18	2.6389e-18	8.2861e-19	12.858	1.0	0.6854	4435.3759	0.4936	1.8834	1.7038	0.0003
rcs0327-B	OIII]1660	4490.1632	1660.809	EMISSION	-0.4283	0.4127	-3.24221527218e+17	3.80257821734e+16	4.633e-18	4.4643e-18	-1.8518e-19	2.024e-18	2.3805	1.0	0.2423	4490.3649	1.4001	1.9068	1.7037	0.0008
rcs0327-B	OIII1666	4504.6031	1666.15	EMISSION	-0.4354	0.3256	-3.69015160112e+17	3.94911028143e+16	4.675e-18	3.496e-18	-6.1888e-19	3.099e-18	1.7082	1.0	0.4153	4504.2532	0.6373	1.1309	1.7034	0.0004
rcs0327-B	SiIII1882	5090.0866	1882.707	EMISSION	-0.4789	0.2768	-4.87886070742e+17	3.85287977725e+16	4.3061e-18	2.4892e-18	7.5364e-19	1.0875e-18	3.2665	1.0	0.3889	5089.6913	0.5828	1.3283	1.7034	0.0003
rcs0327-B	SiIII1892	5115.2896	1892.029	EMISSION	-0.3329	0.2484	-5.365496149e+17	4.14481023346e+16	2.9772e-18	2.2213e-18	1.8481e-20	5.6677e-19	5.2203	1.0	0.3528	5115.0853	0.5746	1.0178	1.7035	0.0003
rcs0327-B	CIII]1906	5154.9082	1906.683	EMISSION	-1.5421	0.3188	-8.1290051879e+17	4.3868343029e+16	1.363e-17	2.8178e-18	2.4449e-19	1.9284e-18	6.9411	1.0	1.242	5154.5078	0.2077	1.3392	1.7034	0.0001
rcs0327-B	CIII]1908	5160.4532	1908.734	EMISSION	-1.5501	0.3513	-6.81032323174e+17	4.15614348188e+16	1.3673e-17	3.0989e-18	2.4449e-19	1.9284e-18	6.9636	1.0	1.0546	5160.1588	0.2655	1.5853	1.7034	0.0001
rcs0327-B	NII]2140	5785.704	2140.0	EMISSION	-0.0	0.1625	-5.40500418733e+17	7.70311513139e+16	5.409e-29	1.1044e-18	5.3826e-19	2.0466e-18	-0.263	1.0	0.0	5785.2546	23251598075.0	0.8287	1.7034	10865232.7453
rcs0327-B	OIII2320	6276.8508	2321.664	EMISSION	-0.4831	0.4484	-8.53810735495e+17	8.50117190843e+16	3.0278e-18	2.8102e-18	7.3092e-19	4.1088e-18	0.55901	1.0	0.266	6276.3632	1.3781	1.9587	1.7034	0.0006
