#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#wt_mn_flux: weighted mean flux at the center of the line (erg/s/cm^2)
#onesig_err_wt_mn_flux: 1 sigma uncertainty in weighted mean flux at the center of the line (erg/s/cm^2)
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means either the code was unable to fit the line OR the fit was below 3 sigma flux error at that point
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	significance	EW_3sig_lim_Schneider	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u	f_SNR	EW_significance
rcs0327-E	CII1334	3606.4401	1334.5323	ISM	2.0108	0.1901	2.824	0.1375	-3.613e-17	3.4152e-18	-1.6705e-19	1.8808e-18	19.121	0.1506	1.0	-1.4155	3607.117	0.1081	1.5315	1.7029	0.0001	10.5791754509	40.0557768924
rcs0327-E	CII1335b	3610.8314	1335.663	FINESTR	-0.0	0.316	1.9424	0.1372	4.1213e-38	5.6862e-18	-1.6705e-19	1.8808e-18	0.08882	-0.1565	1.0	0.0	3611.3923	0.0	0.4662	1.7038	0.0	7.24789842074e-21	0.0
rcs0327-E	CII1335c	3610.953	1335.708	EMISSION	-0.0	0.3159	1.9017	0.1393	8.6918e-37	5.684e-18	-1.6705e-19	1.8808e-18	0.08882	-0.1565	1.0	0.0	3611.514	0.0	0.4662	1.7038	0.0	1.52916959887e-19	0.0
rcs0327-E	NIV]1486	4018.6041	1486.5	EMISSION	-0.2505	0.1423	-0.3027	0.1038	4.367e-18	2.4804e-18	-3.96e-20	1.6211e-18	2.7183	-0.1148	1.0	0.1583	4019.2284	0.737	1.7065	1.7038	0.0005	1.76060312853	6.54616724739
rcs0327-E	SiII1533	4145.4779	1533.4312	FINESTR	-0.3554	0.0769	-0.1335	0.086	6.1394e-18	1.3276e-18	-1.9542e-18	2.8827e-18	2.8077	-0.1005	1.0	0.5244	4145.3407	0.1195	0.7309	1.7033	0.0001	4.6244350708	10.6089552239
rcs0327-E	HeII1640	4434.7033	1640.417	EMISSION	-0.4823	0.1083	-0.8937	0.0793	8.1944e-18	1.8404e-18	1.7578e-18	8.7793e-19	7.3315	-0.0898	1.0	0.2762	4435.3923	0.3224	1.8832	1.7038	0.0002	4.45251032384	16.1124721604
rcs0327-E	OIII]1660	4489.8311	1660.809	EMISSION	-0.1561	0.1078	-0.1376	0.0788	2.6358e-18	1.8205e-18	1.6342e-19	1.8549e-18	1.3328	-0.0867	1.0	0.0883	4489.1335	0.9919	1.9067	1.703	0.0006	1.4478439989	5.40138408304
rcs0327-E	OIII1666	4504.2699	1666.15	EMISSION	-0.5181	0.1104	-0.5695	0.0804	8.7243e-18	1.8596e-18	-4.0593e-18	7.1217e-18	1.795	-0.0921	1.0	0.2921	4503.5701	0.307	1.9128	1.703	0.0002	4.69149279415	16.8762214984
rcs0327-E	SiIII1882	5089.7101	1882.707	EMISSION	-0.3272	0.0763	-0.3526	0.0706	4.9965e-18	1.1651e-18	3.0046e-19	4.7071e-19	9.9766	-0.0808	1.0	0.2722	5089.5859	0.2287	1.2966	1.7033	0.0001	4.28847309244	12.1485148515
rcs0327-E	SiIII1892	5114.9112	1892.029	EMISSION	-0.4327	0.0941	-0.4228	0.0728	6.571e-18	1.4297e-18	-2.2881e-19	5.9858e-19	11.36	-0.0837	1.0	0.2446	5114.8417	0.313	1.9081	1.7034	0.0002	4.59606910541	15.5089605735
rcs0327-E	CIII]1906	5154.5268	1906.683	EMISSION	-0.7714	0.0692	-1.6353	0.0742	1.1623e-17	1.0433e-18	5.3946e-19	9.2496e-19	11.983	-0.086	1.0	0.8544	5153.726	0.0658	0.9737	1.703	0.0	11.1406115211	26.9093023256
rcs0327-E	CIII]1908	5160.0715	1908.734	EMISSION	-1.2046	0.083	-1.7347	0.0732	1.8106e-17	1.2481e-18	5.3946e-19	9.2496e-19	18.992	-0.0879	1.0	0.9377	5160.1356	0.0719	1.3855	1.7034	0.0	14.5068504126	41.1126279863
rcs0327-E	NII]2140	5785.276	2140.0	EMISSION	-0.0746	0.1245	-0.0726	0.0906	9.3808e-19	1.5653e-18	5.2957e-20	9.0212e-19	0.98116	-0.1018	1.0	0.0328	5786.1748	3.0955	2.4568	1.7038	0.0014	0.599297259311	2.19842829077
rcs0327-E	OIII2320	6276.3865	2321.664	EMISSION	-0.1717	0.103	-0.2794	0.0956	1.9324e-18	1.1591e-18	-7.5889e-19	1.2858e-18	2.0931	-0.1138	1.0	0.1167	6276.1444	0.7193	1.5868	1.7033	0.0003	1.66715555172	4.52636203866
rcs0327-E	CII2323	6283.2801	2324.214	EMISSION	-0.0833	0.0811	-1.0711	0.1066	9.3639e-19	9.1182e-19	-7.5889e-19	1.2858e-18	1.3185	-0.1027	1.0	0.1108	6282.6533	0.6217	0.8113	1.7031	0.0003	1.02694610778	2.43330087634
rcs0327-E	CII2325b	6286.4945	2325.403	EMISSION	-0.2662	0.1894	-1.3266	0.1063	2.9881e-18	2.1266e-18	-7.5889e-19	1.2858e-18	2.9142	-0.1093	1.0	0.3113	6285.84	0.6625	0.9222	1.7031	0.0003	1.40510674316	7.30649588289
rcs0327-E	CII2325c	6288.4139	2326.113	EMISSION	-0.5194	0.1911	-1.3967	0.1054	5.8291e-18	2.1445e-18	-7.5889e-19	1.2858e-18	5.1237	-0.1731	1.0	0.69	6288.0836	0.2859	0.8119	1.7033	0.0001	2.7181627419	9.00173310225
rcs0327-E	CII2325d	6292.5555	2327.645	EMISSION	-0.5474	0.1527	-1.4181	0.1092	6.1365e-18	1.7118e-18	-7.5889e-19	1.2858e-18	5.3628	-0.1081	1.0	0.3593	6292.2387	0.3008	1.643	1.7033	0.0001	3.58482299334	15.1914893617
rcs0327-E	CII2328	6295.7806	2328.838	EMISSION	-0.047	0.0795	-0.8033	0.1495	5.2657e-19	8.9004e-19	-7.5889e-19	1.2858e-18	0.99976	-0.1054	1.0	0.0624	6296.7588	1.0577	0.8129	1.7038	0.0005	0.591625095501	1.33776091082
rcs0327-E	[OIII]2331	6301.8957	2331.1	EMISSION	-0.0	0.0759	0.0707	0.1525	1.5831e-30	8.4912e-19	-7.5889e-19	1.2858e-18	0.59022	-0.3255	1.0	0.0	6300.9167	0.0	0.8137	1.703	0.0	1.86440079141e-12	0.0
rcs0327-E	SiII2335a	6312.7715	2335.123	EMISSION	-0.0651	0.7091	-0.0734	0.1754	7.2553e-19	7.9068e-18	-7.5889e-19	1.2858e-18	1.1545	-0.1068	1.0	0.0861	6312.7688	5.8968	0.8151	1.7034	0.0025	0.091760256994	1.82865168539
rcs0327-E	SiII2335b	6313.3068	2335.321	EMISSION	-0.033	0.6331	6.51862529208e+27	2.06337103492e+31	3.6782e-19	7.0532e-18	-7.5889e-19	1.2858e-18	0.87629	-0.1068	1.0	0.035	6314.2876	26.2264	1.0178	1.7038	0.0112	0.0521493790053	0.926966292135
rcs0327-E	OII2470mid	6680.1744	2471.027	EMISSION	-0.9861	0.101	-1.2371	0.0996	1.0038e-17	1.028e-18	3.5849e-20	9.6855e-19	10.327	-0.1175	1.0	0.7111	6680.1881	0.1155	1.4956	1.7034	0.0	9.76459143969	25.1770212766
